label,country,value
String,global,55.4
Date,global,23.8
Numeric,global,12.2
Object,global,8.7
Null,global,0
String,br,55.4
Date,br,23.8
Numeric,br,12.2
Object,br,8.7
Null,br,0
String,co,55.4
Date,co,23.8
Numeric,co,12.2
Object,co,8.7
Null,co,0
String,de,55.4
Date,de,23.8
Numeric,de,12.2
Object,de,8.7
Null,de,0
String,us,55.4
Date,us,23.8
Numeric,us,12.2
Object,us,8.7
Null,us,0
