label,country,value
String,global,69.9
Date,global,14.3
Object,global,7.1
Numeric,global,7.0
Null,global,1.6
String,br,71.4
Date,br,14.3
Object,br,7.1
Numeric,br,7.0
Null,br,0.2
String,co,71.3
Date,co,14.3
Object,co,7.1
Numeric,co,7.0
Null,co,0.3
String,de,64.8
Date,de,14.3
Object,de,7.1
Numeric,de,7.0
Null,de,6.8
String,us,71.3
Date,us,14.3
Numeric,us,7.1
Object,us,7.0
Null,us,0.2
